Appellation Complexe:
| Mot                   |   Nombre d'occurrences |
| CLÉOMÈNES             |                      2 |
| Naissance             |                      2 |
| Lampe                 |                      2 |
| reconnue              |                      2 |
| Aphrodites            |                      2 |
| Laocoon               |                      2 |
| Hector                |                      2 |
| peignant              |                      2 |
| Elles                 |                      2 |
| l'un                  |                      2 |
| Bryaxis               |                      2 |
| CHÉNEAU               |                      2 |
| Athéniennes           |                      2 |
| grappe                |                      2 |
| Crésilas              |                      2 |
| Aryballe              |                      2 |
| Antéfixe              |                      2 |
| Ils                   |                      2 |
| L'artiste             |                      2 |
| jumeaux               |                      2 |
| Aristides             |                      2 |
| Éphèse                |                      2 |
| Kélebé                |                      2 |
| table                 |                      2 |
| APOLLONIUS            |                      2 |
| Mars                  |                      2 |
| Stéphanos             |                      2 |
| moulage               |                      2 |
| Génie                 |                      2 |
| Dinoménès             |                      2 |
| ARISTANDRE            |                      2 |
| ARCÉSILAS             |                      2 |
| encensoir             |                      2 |
| Elle                  |                      2 |
| Cyathis               |                      2 |
| Faune                 |                      2 |
| Mosaïque              |                      2 |
| ANTIPHANE             |                      2 |
| sous                  |                      2 |
| ANTIGONE              |                      2 |
| l'enlèvement          |                      2 |
| montre                |                      2 |
| gemme                 |                      2 |
| Petite                |                      2 |
| Relief                |                      2 |
| cornaline             |                      2 |
| Cratère               |                      2 |
| qu'il                 |                      2 |
| MÉNECHME              |                      2 |
| attribue              |                      2 |
| Grâces                |                      2 |
| enlèvement            |                      2 |
| MNASITIME             |                      2 |
| MICON                 |                      2 |
| Aryballos             |                      2 |
| Peint                 |                      2 |
| bataille              |                      2 |
| HÉPHÆSTION            |                      2 |
| POLYDORE              |                      2 |
| PRAXIAS               |                      2 |
| Silène                |                      2 |
| Trophées              |                      2 |
| Rhodes                |                      2 |
| Scopas                |                      2 |
| elle                  |                      2 |
| c'est                 |                      2 |
| intaille              |                      2 |
| DAMÉAS                |                      2 |
| portique              |                      2 |
| Cyzique               |                      2 |
| lui                   |                      2 |
| monument              |                      2 |
| Pausanias             |                      2 |
| PYTHOCRITE            |                      2 |
| ARISTOCLÈS            |                      2 |
| près                  |                      2 |
| cette                 |                      2 |
| Αntinοϋs              |                      2 |
| Canthare              |                      2 |
| trépied               |                      2 |
| offrandes             |                      1 |
| Pierres               |                      1 |
| restaurer             |                      1 |
| Asklépiodore          |                      1 |
| l'aigle               |                      1 |
| tombeau               |                      1 |
| Athéné                |                      1 |
| Salomon               |                      1 |
| Aplirodite            |                      1 |
| représenté            |                      1 |
| offrande              |                      1 |
| guerrier              |                      1 |
| Glarac                |                      1 |
| gymnase               |                      1 |
| xJaspe                |                      1 |
| taillant              |                      1 |
| sculptait             |                      1 |
| placèrent             |                      1 |
| Femme                 |                      1 |
| omphalos              |                      1 |
| Trépied               |                      1 |
| PIERRES               |                      1 |
| Celle                 |                      1 |
| figurant              |                      1 |
| maints                |                      1 |
| patène                |                      1 |
| Aiguë                 |                      1 |
| voyait                |                      1 |
| excellente            |                      1 |
| Pyrgotèles            |                      1 |
| Ttjkhé                |                      1 |
| monnaies              |                      1 |
| VAplirodile           |                      1 |
| Praxitè               |                      1 |
| Variante              |                      1 |
| Victoires             |                      1 |
| Vro                   |                      1 |
| Nymphe                |                      1 |
| q                     |                      1 |
| admirer               |                      1 |
| Procession            |                      1 |
| Pompe                 |                      1 |
| Orsini                |                      1 |
| L'Alexandre           |                      1 |
| piédestaux            |                      1 |
| Hephsestiôn           |                      1 |
| s'apparente           |                      1 |
| Diane                 |                      1 |
| Ilabron               |                      1 |
| Klitus                |                      1 |
| L'Aphro               |                      1 |
| Pline                 |                      1 |
| Dieu                  |                      1 |
| Néron                 |                      1 |
| Chrysolite            |                      1 |
| VÉNUS                 |                      1 |
| Pankasté              |                      1 |
| Patras                |                      1 |
| APHRODITES            |                      1 |
