balise	moyenne_phrases
Appellation Courte	1.7962962962962938
Appellation Structuree	2.9322115384615373
Appellation Enrichie	5.253571428571429
Appellation Complexe	8.77938854677366
Theme	3.5568096313017312
Theme Long	6.89309838472834
