personnage,occurence,genre
bacchus,197
esculape,34
hercule,286
jupiter,236
diane,152
junon,34
minerve,174
venus,956
mercure,141
ceres,47
graces,27
concorde,11
vulcain,27
neptune,31
mars,81
cupidon,44
saturne,57
vesta,14
proserpine,19
parques,1
aurore,6
pluton,10
salus,3
