personnage,occurence,genre
apollon,364,M
muses,21,F
nemesis,23,M
hecate,7,F
hermes,93,M
pan,66,M
hygie,19,F
hebe,15,F
eros,50,M
aphrodite,320,F
dionysos,70,M
artemis,44,F
ares,6,M
athena,112,F
mnemosyne,4,F
hera,35,F
zeus,100,M
charites,4,F
demeter,23,F
poseidon,22,M
selene,8,F
heracles,61,M
boree,9,M
helios,4,M
persephone,2,F
hypnos,8,M
thanatos,13,M
hades,1,M
zephyr,1,M
